Variable,Coefficient,Standard Error,p-value,Confidence Interval Lower Bound,Confidence Interval Upper Bound
Baseline (Intercept),774.77,585865673.25,1.0,-1148274844.58,1148276394.13
Treatment Group (Verum),-69.74,56030475.08,1.0,-109817782.94,109817643.46
Site: Heidelberg,-92.96,81254247.68,1.0,-159255492.0,159255306.08
NLI: C3,-30.75,28541662.15,1.0,-55940660.63,55940599.13
NLI: C4,45.19,39505951.75,1.0,-77430197.42,77430287.8
NLI: C6,46.6,43337693.06,1.0,-84940270.97,84940364.17
Time (Week),5.04,0.23,0.0,4.59,5.48
Interaction: Week x Treatment Group,-0.11,0.31,0.711,-0.71,0.49
First measured EE,-0.42,758501.63,1.0,-1486636.29,1486635.45
Age at Injury,-27.74,22863240.54,1.0,-44811155.76,44811100.29
"Sex (Male=1, Female=0)",566.79,475108129.39,1.0,-931194255.58,931195389.17
Number of Measurements,17.32,15794455.7,1.0,-30956547.0,30956581.65
Week of first measured EE,3.01,6951143.99,1.0,-13623988.86,13623994.87
Patient-Specific Variability,1.0,589804.99,1.0,-1155995.55,1155997.55
Covariance: Intercept and Week,-0.0,24467.5,1.0,-47955.42,47955.42
Patient-Specific Slope Variability,0.0,0.0,0.085,-0.0,0.0
