Parameter,Coefficient,Standard Error,p-value,Confidence Interval Lower,Confidence Interval Upper
Intercept,10.589024610613299,19.65450853788732,0.590053815827139,-27.933104257480842,49.11115347870744
Group[T.Verum],-0.6232392098118191,0.41653093891372506,0.13458552222539089,-1.4396248485293737,0.1931464289057353
Site[T.Heidelberg],-0.6099970509473449,1.6763654217714612,0.7159470849036298,-3.895612902547706,2.6756188006530164
Site[T.Zurich],-2.5811721778916303,8.86631321887818,0.7709585891029447,-19.95882676254426,14.796482406760997
Week,0.025443777775196505,0.04636065223437372,0.5831271387385565,-0.06542143090396237,0.11630898645435538
Week:Group[T.Verum],0.06594428378192654,0.060713301196761514,0.27740876043724805,-0.05305159994625859,0.18494016751011166
First_Measurement,0.04334194933632983,0.005211181575472131,9.013716449946562e-17,0.03312822113150576,0.0535556775411539
Age_at_Injury,-0.20973612933762428,0.32547845987597235,0.519320447022507,-0.8476621884380952,0.42818992976284653
Sex,1.5552287018086155,2.411290336907945,0.5189415816527785,-3.1708135148004093,6.28127091841764
Measurement_Count,-0.006717458806040877,0.022440068710120213,0.7646721840519628,-0.05069918528848068,0.03726426767639893
First_Measurement_Week,-0.1058797471811174,0.06618105617639931,0.10963191575514324,-0.23559223374568214,0.02383273938344735
Group Var,1.0807089395443101,0.2085213530629349,2.1866671229315844e-07,0.6720145975333969,1.4894032815552234
Group x Week Cov,-0.1048497161146279,0.02592616173297525,5.2509582523791195e-05,-0.15566405936861993,-0.05403537286063586
Week Var,0.025652215829352808,0.004591680920350705,2.3146212143417818e-08,0.0166526865969657,0.034651745061739916
