Parameter,Coefficient,Standard Error,p-value,Confidence Interval Lower,Confidence Interval Upper
Intercept,-1.7194224547372887,13.90169791317687,0.9015652042814765,-28.96624968851958,25.527404779045003
Group[T.Verum],-0.07717429325629187,0.30393241298146145,0.7995579353502791,-0.6728708764343103,0.5185222899217266
Site[T.Heidelberg],-0.0497514848481263,1.1813965623366107,0.9664090680063564,-2.365246198487312,2.2657432287910595
Site[T.Zurich],1.4895845066952673,6.288697228015769,0.8127600135986282,-10.83603556989251,13.815204583283046
Week,0.01957160544775592,0.0327037408208345,0.5495386562149173,-0.044526548720812076,0.08366975961632392
Week:Group[T.Verum],-0.028626760121698923,0.04282370436021451,0.5038276878737447,-0.11255967835231023,0.055306158108912394
First_Measurement,0.05177323399448883,0.0052586532987995765,7.17954714228258e-23,0.04146646292165892,0.06208000506731875
Age_at_Injury,0.01738849152483489,0.22986706774897436,0.9397008516923693,-0.43314268249498344,0.46791966554465325
Sex,1.0706494320043962,1.721170723983308,0.5339108311438417,-2.3027831982476177,4.44408206225641
Measurement_Count,-0.023704224460420566,0.01763450844151461,0.17888522102534088,-0.05826722589085676,0.01085877697001563
First_Measurement_Week,0.055361180122205096,0.04909506841894984,0.25947528103398365,-0.04086338579746641,0.1515857460418766
Group Var,1.2876518387084408,0.265862056692453,1.2769508054471889e-06,0.7665717827354869,1.8087318946813946
Group x Week Cov,-0.11502258450440254,0.0320919181431131,0.00033816413889109834,-0.17792158825971177,-0.05212358074909333
Week Var,0.028636738550057723,0.005311521478040883,6.989608900892701e-08,0.018226347749986636,0.039047129350128815
