Parameter,Coefficient,Standard Error,p-value,Confidence Interval Lower,Confidence Interval Upper
Intercept,-31.320425535679075,125.05337492557358,0.8022343720958385,-276.42053653498755,213.7796854636294
Group[T.Verum],3.4601198999689706,4.150480500922679,0.40446848611670205,-4.674672400375243,11.594912200313185
Site[T.Heidelberg],1.8206736380315536,10.821101965254076,0.8663849182949116,-19.388296486902036,23.029643762965144
Site[T.Zurich],26.118812799394394,57.00890918980222,0.646842397470677,-85.61659601053246,137.85422160932126
Week,0.007306633848471778,0.3260192340194182,0.9821195753846182,-0.6316793230969234,0.6462925907938669
Week:Group[T.Verum],-0.6727549973066586,0.4262472369911518,0.11449186665620407,-1.5081842303190252,0.16267423570570805
First_Measurement,0.045471074409092795,0.004846428655364488,6.449510981757335e-21,0.03597224879093552,0.05496990002725007
Age_at_Injury,0.894588008045801,2.060824460682363,0.6642214245325357,-3.1445537133508115,4.933729729442414
Sex,7.619168284564925,17.193103836207417,0.6576553772541776,-26.078696016859052,41.3170325859889
Measurement_Count,-0.18408467338412074,0.19526246563365715,0.3458062139750627,-0.5667920735585787,0.1986227267903373
First_Measurement_Week,1.0667638063176248,0.5556714991621807,0.0548864274235992,-0.022332319275628176,2.1558599319108778
Group Var,1.5803113234812232,0.31039372880655797,3.5559429464274494e-07,0.9719507939932769,2.1886718529691693
Group x Week Cov,-0.12519140324062056,0.028199962178648307,9.020271845943414e-06,-0.18046231347616293,-0.0699204930050782
Week Var,0.01752960466581136,0.0033541590885401984,1.7300174856994244e-07,0.01095557365385488,0.024103635677767844
