Parameter,Coefficient,Standard Error,p-value,Confidence Interval Lower,Confidence Interval Upper
Intercept,55.57075576275475,127.72914115535814,0.6635136735856196,-194.77376067798,305.9152722034895
Group[T.Verum],-2.8105667478127683,4.004958780433148,0.48282154775388464,-10.660141717029196,5.039008221403659
Site[T.Heidelberg],-1.7187146540206528,10.951032931105848,0.8752878496438946,-23.182344792500217,19.744915484458915
Site[T.Zurich],-22.89829940522094,57.852473830189666,0.6922488752005671,-136.28706452893869,90.49046571849681
Week,-0.07215415092512022,0.3250584858505947,0.824335036866187,-0.7092570760614086,0.5649487742111682
Week:Group[T.Verum],0.6483956355949777,0.42518431174156435,0.1272652220156625,-0.18495030220993924,1.4817415733998947
First_Measurement,0.04500537961867094,0.005112926324784741,1.3407108765830672e-18,0.0349842281664861,0.055026531070855776
Age_at_Injury,-0.7136844203890031,2.0921940488339765,0.7330149773847906,-4.814309404772632,3.3869405639946253
Sex,-7.509968840110657,17.35829325079048,0.665273108446204,-41.5315984447447,26.511660764523384
Measurement_Count,0.20471309676473345,0.195573322247906,0.29522262963941903,-0.17860357117800837,0.5880297647074753
First_Measurement_Week,-1.0298186538277465,0.558989841825379,0.0654334588291616,-2.125418611529231,0.06578130387373804
Group Var,1.549726910844151,0.3114175337866953,6.478986011467124e-07,0.9393597604679427,2.1600940612203594
Group x Week Cov,-0.12361041114468195,0.02890722452569973,1.9018907127554926e-05,-0.18026753010806637,-0.06695329218129753
Week Var,0.01853968675940176,0.00357781776551866,2.1970516292443635e-07,0.011527292795737614,0.025552080723065904
