Parameter,Coefficient,Standard Error,p-value,Confidence Interval Lower,Confidence Interval Upper
Intercept,0.41459260896415,1.2558898390885598,0.7413103414121096,-2.046906244199231,2.876091462127531
Group[T.Verum],-0.0252347368736392,0.04778638668045922,0.5974481426392332,-0.11889433371864382,0.06842485997136542
Site[T.Heidelberg],-0.011373146090509056,0.10643259004349295,0.9149018393387706,-0.21997718935707158,0.1972308971760535
Site[T.Zurich],-0.209682965933466,0.5673454962574158,0.7116909664853324,-1.3216597053890051,0.9022937735220731
Week,0.01155149424087884,0.0037364084554428563,0.001990784267826103,0.00422826823667991,0.018874720245077768
Week:Group[T.Verum],-0.0008390954904735811,0.004870255260600276,0.8632096728998002,-0.010384620396766858,0.008706429415819695
First_Measurement,0.05893659053385789,0.006776971437044938,3.4198486024250408e-18,0.04565397059299316,0.07221921047472263
Age_at_Injury,-0.006835183941296308,0.020798009497557238,0.7424232269538713,-0.04759853350663048,0.033928165624037866
Sex,-0.1016822913444853,0.1437578464038083,0.47936983745260253,-0.38344249279099046,0.18007791010201984
Measurement_Count,-0.0005530370758590568,0.00126786800631189,0.6626956038851433,-0.0030380127053809634,0.0019319385536628495
First_Measurement_Week,-0.007179396257164779,0.0035402543266395414,0.042567153462877115,-0.01411816723349038,-0.00024062528083917782
Group Var,1.4532082645466073,0.265876880227794,4.610346949220139e-08,0.9320991549782616,1.9743173741149531
Group x Week Cov,-0.14020065835899626,0.026032781089455958,7.222632019877977e-08,-0.19122397171174532,-0.08917734500624719
Week Var,0.015187967181602258,0.00273792747213335,2.9019826264156994e-08,0.0098217279439381,0.020554206419266415
