Variable,Coefficient,Standard Error,p-value,Confidence Interval Lower Bound,Confidence Interval Upper Bound
Baseline (Intercept),34.75,6.88,0.0,21.26,48.24
Treatment Group (Verum),-0.67,1.28,0.599,-3.19,1.84
Site[T.Heidelberg],-2.53,1.55,0.103,-5.57,0.51
Site[T.Zurich],-1.44,1.71,0.399,-4.8,1.91
NLI: C3,-5.94,1.96,0.002,-9.79,-2.1
NLI: C4,-2.74,2.24,0.221,-7.13,1.64
NLI: C5,-0.05,2.8,0.985,-5.54,5.44
NLI: C6,-1.14,2.11,0.587,-5.28,2.99
NLI: C7,-0.65,2.61,0.802,-5.76,4.45
Time (Week),4.92,1.31,0.0,2.35,7.5
Interaction: Week x Treatment Group,0.05,1.87,0.978,-3.62,3.72
First measured EE,0.32,0.07,0.0,0.19,0.46
Age at Injury,0.18,0.16,0.237,-0.12,0.49
"Sex (Male=1, Female=0)",-2.07,3.01,0.493,-7.97,3.84
Number of Measurements,-0.2,0.26,0.441,-0.7,0.3
Week of first measured EE,-1.75,0.46,0.0,-2.65,-0.84
Patient-Specific Variability,0.09,0.02,0.0,0.04,0.13
Covariance: Intercept and Week,-0.01,0.04,0.8,-0.09,0.07
Patient-Specific Slope Variability,0.51,,,,
