Variable,Coefficient,Standard Error,p-value,Confidence Interval Lower Bound,Confidence Interval Upper Bound
Baseline (Intercept),47.83,5.15,0.0,37.74,57.92
Treatment Group (Verum),-1.43,2.3,0.535,-5.93,3.08
Site: Heidelberg,-0.33,1.15,0.771,-2.58,1.91
Site: Zurich,0.95,1.18,0.42,-1.36,3.25
NLI: C3,-0.91,1.43,0.526,-3.72,1.9
NLI: C4,-0.31,1.47,0.835,-3.19,2.58
NLI: C5,-0.67,1.94,0.73,-4.47,3.13
NLI: C6,1.01,1.4,0.473,-1.74,3.75
NLI: C7,0.4,1.91,0.832,-3.33,4.14
Time (Week),4.97,0.09,0.0,4.8,5.14
Interaction: Week x Treatment Group,0.05,0.12,0.681,-0.19,0.29
First measured EE,0.02,0.05,0.633,-0.08,0.13
Age at Injury,0.07,0.1,0.445,-0.11,0.26
"Sex (Male=1, Female=0)",-0.46,1.94,0.812,-4.26,3.34
Number of Measurements,-0.03,0.2,0.898,-0.41,0.36
Week of first measured EE,-0.32,0.32,0.32,-0.95,0.31
Patient-Specific Variability,0.37,0.11,0.001,0.14,0.59
Covariance: Intercept and Week,-0.02,0.01,0.001,-0.03,-0.01
Patient-Specific Slope Variability,0.0,0.0,0.0,0.0,0.0
